activities,candidates,SQ,MCN,SN,fitness_normalized,scalability
5,50,10,100,100,0.9886400331771725,1.0634698867797852
5,50,10,200,100,0.9893311969672037,2.0871806144714355
5,50,20,300,200,0.9966456736549585,6.326735019683838
5,50,20,400,200,0.9966456736549585,8.769728422164917
5,50,20,500,200,1.0,10.548083066940308
30,200,20,300,200,0.9406071812018912,28.098721981048584
30,200,20,500,200,0.940655770419516,44.079779624938965
30,200,100,100000,20,0.9936859249143004,1083.524437904358
30,200,500,100000,20,0.987990169152752,1017.1512265205383
