activities,candidates,SQ,MCN,SN,fitness_normalized,scalability
5,50,10,100,100,0.9850984125393726,2.0684726238250732
5,50,10,200,100,0.9937446240053092,4.199449777603149
5,50,20,300,200,1.0,12.48812985420227
30,200,20,300,200,0.9335589204617407,56.69404721260071
30,200,20,500,200,0.9302599135067182,88.34677577018738
