activities,candidates,execution_number,working_bees,onlocker_bees,scout_bees,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability

5,50,10,50,50,50,10,100,100,1.8529754472646587,1.8711919892849584,0.9902647392012078,0.9237419366836548

10,100,10,50,50,50,10,100,100,1.8456849584897346,1.8737830309079735,0.9850046286284152,1.6998655080795289

10,100,10,50,50,50,10,100,100,1.864478537265341,1.8860891433538811,0.9885421077976666,1.4840397119522095

20,150,10,50,50,50,10,100,100,1.8969964270655886,1.9288332738791463,0.9834942463691901,2.4061212301254273

20,150,10,50,50,50,10,100,100,1.884518037161392,1.925877989407022,0.9785241056426609,2.420378232002258

30,200,10,50,50,50,10,100,100,1.8647570586436075,1.9216447358118987,0.9703963609359584,3.4931047439575194

30,200,10,50,50,50,10,100,100,1.8714740343515874,1.9077609383689316,0.9809793233064263,3.600448489189148

