activities,candidates,execution_number,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability
5,50,10,20,100,100,1.8390531408478055,2.0,0.9195265704239027,1.9569461584091186
10,100,10,20,100,100,1.8442336231455225,2.0,0.9221168115727613,3.2295531034469604
10,100,10,20,100,100,1.8162834217838253,2.0,0.9081417108919126,3.13969349861145
20,150,10,20,100,100,1.827116592214723,2.0,0.9135582961073615,5.775639891624451
20,150,10,20,100,100,1.810294758590596,2.0,0.905147379295298,5.7975877046585085
30,200,10,20,100,100,1.796517652402906,2.0,0.898258826201453,8.199724340438843
30,200,10,20,100,100,1.7940586012861512,2.0,0.8970293006430756,8.23840434551239
5,50,10,50,300,200,1.8937733286501248,2.0,0.9468866643250624,12.528680801391602
10,100,10,50,300,200,1.8621284155508768,2.0,0.9310642077754384,20.04165651798248
10,100,10,50,300,200,1.869834521207535,2.0,0.9349172606037675,20.21110053062439
20,150,10,50,300,200,1.8307234363314613,2.0,0.9153617181657306,35.96173207759857
20,150,10,50,300,200,1.848205607225318,2.0,0.924102803612659,37.81051685810089
30,200,10,50,300,200,1.8231571884552273,2.0,0.9115785942276137,51.58306877613067
30,200,10,50,300,200,1.806336113902871,2.0,0.9031680569514355,55.00962355136871
