activities,candidates,execution_number,working_bees,onlocker_bees,scout_bees,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability
5,50,10,50,50,100,5,100,100,1.790055525512828,2.0,0.895027762756414,1.4647077560424804

10,100,10,50,50,100,5,100,100,1.8040579341261078,2.0,0.9020289670630539,2.6500906467437746

10,100,10,50,50,100,5,100,100,1.809534638945594,2.0,0.904767319472797,2.47466778755188

20,150,10,50,50,100,5,100,100,1.7747150457575454,2.0,0.8873575228787727,4.192947554588318

20,150,10,50,50,100,5,100,100,1.7899711903171105,2.0,0.8949855951585552,4.221369695663452

30,200,10,50,50,100,5,100,100,1.7574355514287086,2.0,0.8787177757143543,5.59131498336792

30,200,10,50,50,100,5,100,100,1.7615243720370266,2.0,0.8807621860185133,5.836953496932983

