activities,candidates,SQ,MCN,fitness_normalized,scalability
5,50,20,500,0.9978870940569097,1.59553861618042
5,50,30,3000,1.0063881240481778,9.888303279876709
5,50,30,3000,1.0048417400329699,9.040801525115967
5,50,30,3000,1.011463562261256,9.20052194595337
