activities,candidates,execution_number,working_bees,onlocker_bees,scout_bees,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability

5,50,10,50,50,100,10,100,100,1.8965263530580745,2.0,0.9482631765290372,0.7175842761993408

10,100,10,50,50,100,10,100,100,1.8927526449304335,2.0,0.9463763224652167,1.130973482131958

10,100,10,50,50,100,10,100,100,1.8707728587483223,2.0,0.9353864293741612,1.1911179780960084

20,150,10,50,50,100,10,100,100,1.8600444523431405,2.0,0.9300222261715703,1.9874885082244873

20,150,10,50,50,100,10,100,100,1.9080070180651094,2.0,0.9540035090325547,2.318200421333313

30,200,10,50,50,100,10,100,100,1.9006685760549793,2.0,0.9503342880274896,2.8993498563766478

30,200,10,50,50,100,10,100,100,1.904284775863043,2.0,0.9521423879315215,2.9772379398345947

5,50,10,200,200,100,10,100,400,1.910319135428065,2.0,0.9551595677140325,4.172885847091675

10,100,10,200,200,100,10,100,400,1.9103734613895835,2.0,0.9551867306947918,6.018757057189942

10,100,10,200,200,100,10,100,400,1.8979474803695886,2.0,0.9489737401847943,5.996752309799194

20,150,10,200,200,100,10,100,400,1.9187073392515621,2.0,0.9593536696257811,9.757710456848145

20,150,10,200,200,100,10,100,400,1.9412636962749237,2.0,0.9706318481374618,9.813774371147156

30,200,10,200,200,100,10,100,400,1.9242843379294912,2.0,0.9621421689647456,13.570630598068238

30,200,10,200,200,100,10,100,400,1.9344819879142576,2.0,0.9672409939571288,13.593210577964783

