activities,candidates,working_bees,onlocker_bees,scout_bees,SQ,MCN,SN,fitness_normalized,scalability
5,50,121,121,121,22,293,243,0.9325901589216764,6.949752569198608
10,100,113,113,113,21,274,227,0.9319484942420118,9.271000623703003
10,100,113,113,113,21,274,227,0.9572970792965404,9.319885015487671
20,150,101,101,101,20,235,203,0.9525257096869795,11.96141791343689
20,150,101,101,101,20,235,203,0.9330158323617471,11.982780694961548
30,200,89,89,89,19,196,179,0.9260876261958572,12.481515407562256
30,200,89,89,89,19,196,179,0.9280050041956056,12.579518795013428
