working_bee,onlocker_bee,scout_bee,activities,candidates,execution_number,SQ,MCN,SN,fitness,optimal,fitness_normalized

50,50,50,5,50,10,10,100,50,0.6734337610880711,0.7169375653704063,0.9393199542280101
50,50,50,10,100,10,10,100,50,0.5894279950647068,0.5751686771059245,1.024791541205844
50,50,50,10,100,10,10,100,50,0.608461951793462,0.6223680056081987,0.9776562199704542
50,50,50,20,150,10,10,100,50,0.492587264234243,0.49762224539634764,0.9898819210582228
50,50,50,20,150,10,10,100,50,0.47998288424280033,0.5252282130858221,0.9138558673815401
50,50,50,30,200,10,10,100,50,1.1815198294528992,1.3835539590837858,0.8539745209759096
50,50,50,30,200,10,10,100,50,0.8926977051944691,1.3799256392878323,0.6469172539291195
50,50,50,5,50,10,10,100,50,0.6514311954799645,0.6712802308470576,0.9704310741550567
50,50,50,10,100,10,10,100,50,0.5877413136637761,0.6050935254764763,0.9713230912543044
50,50,50,10,100,10,10,100,50,0.613901662692591,0.6117313383496397,1.003547839070672
50,50,50,20,150,10,10,100,50,0.4812284761804836,0.5235664842755205,0.919135373698296
50,50,50,20,150,10,10,100,50,0.48311387018243623,0.5561609515765558,0.8686583781420609
50,50,50,30,200,10,10,100,50,1.0811208427992993,0.45590753098608416,2.371359912526426
50,50,50,5,50,10,10,100,50,0.6508004700498606,0.6688845926943847,0.9729637625951615

50,50,50,10,100,10,10,100,50,0.616442071784489,0.6437129648316404,0.957635010420702

50,50,50,10,100,10,10,100,50,0.5940494645196608,0.659488799702707,0.9007726359984494

50,50,50,20,150,10,10,100,50,0.48880725538991066,0.5270374319410741,0.9274621227369714

50,50,50,20,150,10,10,100,50,0.48492341396544114,0.5528591247918406,0.8771193098206017

50,50,50,30,200,10,10,100,50,0.8914472202291639,1.3742517074578664,0.648678270066108

50,50,50,30,200,10,10,100,50,1.088403828197342,1.372137575577606,0.7932177119624282

50,50,50,5,50,10,10,100,50,0.6713890524301733,0.7002315571366265,0.958810047315783

50,50,50,10,100,10,10,100,50,0.6048054829388309,0.6343692778396297,0.9533965531851107

50,50,50,10,100,10,10,100,50,0.6041238590896258,0.6345968823274845,0.9519805027624876

50,50,50,20,150,10,10,100,50,0.47495439209815615,0.5335984060814629,0.890097096777396

50,50,50,20,150,10,10,100,50,0.47451286087239736,0.5296213649331216,0.8959473546395109

50,50,50,30,200,10,10,100,50,1.2792383185915626,1.385039575397416,0.923611383612995

50,50,50,30,200,10,10,100,50,0.5012330371146207,1.3778776951847342,0.3637717911148998

