activities,candidates,execution_number,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability
5,50,10,20,100,100,1.8903500169227587,2.0,0.9451750084613794,2.2350427389144896
10,100,10,20,100,100,1.8717705369591116,2.0,0.9358852684795558,4.295521831512451
10,100,10,20,100,100,1.8430399702726104,2.0,0.9215199851363052,4.029179525375366
20,150,10,20,100,100,1.825512977298923,2.0,0.9127564886494615,6.620945596694947
20,150,10,20,100,100,1.813001229393248,2.0,0.906500614696624,6.354705166816712
30,200,10,20,100,100,1.8262877549438312,2.0,0.9131438774719156,10.586416316032409
30,200,10,20,100,100,1.7836909848768403,2.0,0.8918454924384202,10.151757645606995
5,50,10,50,300,200,1.9280780302710432,2.0,0.9640390151355216,14.410282015800476
10,100,10,50,300,200,1.876629065015188,2.0,0.938314532507594,23.6471777677536
10,100,10,50,300,200,1.8992455908432238,2.0,0.9496227954216119,24.040723466873168
20,150,10,50,300,200,1.8719579430948656,2.0,0.9359789715474328,43.96056158542633
20,150,10,50,300,200,1.892476693612819,2.0,0.9462383468064095,45.25388915538788
30,200,10,50,300,200,1.8641734309204092,2.0,0.9320867154602046,60.47763240337372
30,200,10,50,300,200,1.854137783527812,2.0,0.927068891763906,54.06325433254242
