activities,candidates,MCN,fitness_normalized,scalability
5,50,200,0.9905971400150312,0.31235296726226813
5,50,200,0.9905971400150312,0.31235296726226813
10,100,1000,0.9663883470710681,2.619712066650391
20,150,3000,0.8801994698463145,14.159295296669008
20,150,10000,0.9182665572019133,51.29498817920685
30,200,10000,0.8214614396021523,83.41341927051545
30,200,20000,0.8451886543094376,151.6953752040863
