activities,candidates,SQ,MCN,SN,fitness_normalized,scalability
5,50,10,100,100,0.9793873957357115,2.455669641494751
10,100,10,100,100,0.9417713577215058,4.499378204345703
10,100,20,300,100,0.955506324778842,12.651723861694336
10,100,20,1000,200,0.9630146013848029,86.10589814186096
30,200,10,100,100,0.9160078241802816,11.939907312393188
30,200,20,500,100,0.9212716525790536,56.37378168106079
