activities,candidates,execution_number,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability

5,50,10,20,100,100,1.8407948021190035,2.0,0.9203974010595017,1.113052201271057
10,100,10,20,100,100,1.8311793272948784,2.0,0.9155896636474392,1.8220677614212035
10,100,10,20,100,100,1.8108061759337617,2.0,0.9054030879668808,1.849370574951172
20,150,10,20,100,100,1.7924964529879719,2.0,0.8962482264939859,3.1294037103652954
20,150,10,20,100,100,1.8137674812201623,2.0,0.9068837406100811,3.0996174573898316
30,200,10,20,100,100,1.8000699712585366,2.0,0.9000349856292683,4.458451724052429
30,200,10,20,100,100,1.8013148078529473,2.0,0.9006574039264736,4.4593164920806885
5,50,10,50,300,200,1.8618350720919328,2.0,0.9309175360459664,7.040124011039734
10,100,10,50,300,200,1.8555856258906835,2.0,0.9277928129453418,11.03523166179657
10,100,10,50,300,200,1.8518433890260677,2.0,0.9259216945130339,11.079573392868042
20,150,10,50,300,200,1.8372653274401725,2.0,0.9186326637200862,19.31212818622589
20,150,10,50,300,200,1.8249676536810742,2.0,0.9124838268405371,19.597764825820924
30,200,10,50,300,200,1.794291355859751,2.0,0.8971456779298755,31.918271684646605
30,200,10,50,300,200,1.8065604510499114,2.0,0.9032802255249557,30.275726318359375
